|Availability|Capacity|Number|Level|Room type|Rent days|Room price|Guest name|Guest ID||||||||||||
|1|1|1|1|Ordinal|0|12|blank|blank%||||||||||||
|1|1|2|1|Ordinal|0|12|blank|blank%||||||||||||
|1|1|3|1|Ordinal|0|12|blank|blank%||||||||||||
|1|1|4|1|Ordinal|0|12|blank|blank%||||||||||||
|1|1|5|1|Ordinal|0|12|blank|blank%||||||||||||
|1|1|6|1|Ordinal|0|12|blank|blank%||||||||||||
|1|1|7|1|Ordinal|0|12|blank|blank%||||||||||||
|1|1|8|1|Ordinal|0|12|blank|blank%||||||||||||
|1|1|9|1|Ordinal|0|12|blank|blank%||||||||||||
|1|1|10|1|Ordinal|0|12|blank|blank%||||||||||||
|1|2|11|2|Ordinal|0|25|blank|blank%||||||||||||
|1|2|12|2|Ordinal|0|25|blank|blank%||||||||||||
|1|2|13|2|Ordinal|0|25|blank|blank%||||||||||||
|1|2|14|2|Ordinal|0|25|blank|blank%||||||||||||
|1|2|15|2|Ordinal|0|25|blank|blank%||||||||||||
|1|2|16|2|Ordinal|0|25|blank|blank%||||||||||||
|1|2|17|2|Ordinal|0|25|blank|blank%||||||||||||
|1|2|18|2|Ordinal|0|25|blank|blank%||||||||||||
|1|2|19|2|Ordinal|0|25|blank|blank%||||||||||||
|1|2|20|2|Ordinal|0|25|blank|blank%||||||||||||
|1|3|21|3|Advanced|0|50|blank|blank%||||||||||||
|1|3|22|3|Advanced|0|50|blank|blank%||||||||||||
|1|3|23|3|Advanced|0|50|blank|blank%||||||||||||
|1|3|24|3|Advanced|0|50|blank|blank%||||||||||||
|1|3|25|3|Advanced|0|50|blank|blank%||||||||||||
|1|3|26|3|Advanced|0|50|blank|blank%||||||||||||
|1|3|27|3|Advanced|0|50|blank|blank%||||||||||||
|1|3|28|3|Advanced|0|50|blank|blank%||||||||||||
|1|3|29|3|Advanced|0|50|blank|blank%||||||||||||
|1|3|30|3|Advanced|0|50|blank|blank%||||||||||||
|1|4|31|4|Lux|0|100|blank|blank%||||||||||||
|1|4|32|4|Lux|0|100|blank|blank%||||||||||||
|1|4|33|4|Lux|0|100|blank|blank%||||||||||||
|1|4|34|4|Lux|0|100|blank|blank%||||||||||||
|1|4|35|4|Lux|0|100|blank|blank%||||||||||||
|1|4|36|4|Lux|0|100|blank|blank%||||||||||||
|1|4|37|4|Lux|0|100|blank|blank%||||||||||||
|1|4|38|4|Lux|0|100|blank|blank%||||||||||||
|1|4|39|4|Lux|0|100|blank|blank%||||||||||||
|1|4|40|4|Lux|0|100|blank|blank%||||||||||||
|1|6|41|5|Advanced lux|0|200|blank|blank%||||||||||||
|1|6|42|5|Advanced lux|0|200|blank|blank%||||||||||||
|1|6|43|5|Advanced lux|0|200|blank|blank%||||||||||||
|1|6|44|5|Advanced lux|0|200|blank|blank%||||||||||||
|1|6|45|5|Advanced lux|0|200|blank|blank%||||||||||||
|1|6|46|5|Advanced lux|0|200|blank|blank%||||||||||||
|1|6|47|5|Advanced lux|0|200|blank|blank%||||||||||||
|1|6|48|5|Advanced lux|0|200|blank|blank%||||||||||||
|1|6|49|5|Advanced lux|0|200|blank|blank%||||||||||||
|1|6|50|5|Advanced lux|0|200|blank|blank%||||||||||||
